r phi
-64 0
-62 0
-60 0
-58 0
-56 0
-54 0
-52 0
-50 0
-48 0
-46 0
-44 0
-42 0
-40 0
-38 0.03303954167
-36 0.2007052524
-34 0.3884622683
-32 0.5740401413
-30 0.7289369183
-28 0.7854949927
-26 0.8051937283
-24 0.810385591
-22 0.811512823
-20 0.8118587685
-18 0.8119467881
-16 0.8119657736
-14 0.8119715885
-12 0.8119730671
-10 0.811973386
-8 0.8119734837
-6 0.8250825754
-4 0.8574039463
-2 0.8412043492
0 0.8119734992
2 0.8119734579
4 0.8119732662
6 0.8119725126
8 0.811970052
10 0.8119586431
12 0.8119137792
14 0.8117673324
16 0.8110888935
18 0.8084330328
20 0.7998984017
22 0.7623377902
24 0.6554279747
26 0.482677923
28 0.2928847799
30 0.1132409972
32 0
34 0
36 0
38 0
40 0
42 0
44 0
46 0
48 0
50 0
52 0
54 0
56 0
