r phi256 phi512
4 6.221978774e-06 5.836014119e-06
8 2.876824467e-05 2.632146116e-06
12 7.755231468e-06 1.128970238e-07
16 2.696208512e-06 3.906541526e-07
20 2.712110131e-06 2.013044456e-06
24 1.529167185e-05 7.625537294e-07
28 2.398728226e-06 2.995896618e-08
32 3.44639357e-06 1.497953857e-07
36 2.49289587e-06 9.310869049e-07
40 1.31584516e-05 4.94904221e-07
44 2.249480348e-06 2.706270599e-08
48 6.300356161e-06 6.158952004e-08
52 4.188248451e-06 5.119050682e-07
56 1.946393642e-05 4.877954819e-07
60 3.589838452e-06 4.227241358e-08
