p wsym wshift
0.002472623157 0.0401922149 0.02787888185
0.002731960763 0.0424254918 0.02944858855
0.003018416325 0.04477807715 0.03110800192
0.003334807307 0.04725432954 0.0328608499
0.003684239899 0.04985875822 0.034711015
0.004070137716 0.0525960143 0.03666253287
0.004496273161 0.05547087909 0.03871958903
0.00496680165 0.05848825003 0.04088651382
0.005486298899 0.06165312457 0.04316777594
0.006059801492 0.06497058254 0.04556797477
0.006692850924 0.06844576715 0.04809183158
0.007391541344 0.07208386494 0.05074417975
0.008162571153 0.07589008485 0.0535299541
0.009013298653 0.07986963642 0.05645417925
0.009951801867 0.08402770722 0.05952195712
0.01098694263 0.08836943953 0.06273845338
0.01212843498 0.0928999063 0.06610888298
0.01338691783 0.0976240863 0.06963849457
0.01477403169 0.1025468386 0.07333255386
0.01630249937 0.1076728763 0.07719632579
0.01798620996 0.1130067396 0.08123505558
0.01984030573 0.1185527681 0.0854539486
0.02188127094 0.1243150728 0.08985814907
0.02412702142 0.1302975077 0.09445271756
0.02659699358 0.1365036402 0.09924260751
0.02931223075 0.1429367231 0.1042326406
0.0322954647 0.1495996643 0.1094274809
0.03557118927 0.1564949988 0.1148316091
0.0391657228 0.1636248595 0.1204492944
0.04310725494 0.1709909492 0.1262845671
0.04742587318 0.1785945133 0.1323411901
0.05215356308 0.1864363135 0.13862263
0.0573241759 0.1945166025 0.1451320285
0.06297335606 0.2028351003 0.1518721726
0.06913842034 0.2113909721 0.1588454667
0.07585818002 0.2201828083 0.1660539035
0.08317269649 0.2292086061 0.1734990365
0.09112296101 0.2384657544 0.1811819527
0.09975048912 0.24795102 0.189103247
0.1090968212 0.2576605376 0.197262997
0.119202922 0.2675898024 0.2056607402
0.1301084744 0.2777336659 0.2142954524
0.1418510649 0.2880863342 0.2231655281
0.1544652651 0.2986413714 0.2322687634
0.1679816149 0.3093917044 0.241602341
0.1824255238 0.320329633 0.2511628182
0.1978161114 0.3314468425 0.2609461172
0.214165017 0.3427344206 0.2709475188
0.2314752165 0.3541828771 0.2811616594
0.2497398944 0.3657821684 0.2915825308
0.2689414214 0.3775217241 0.3022034837
0.2890504974 0.3893904779 0.3130172348
0.3100255189 0.4013769011 0.3240158774
0.3318122278 0.4134690398 0.3351908957
0.3543436938 0.4256545542 0.3465331822
0.3775406688 0.4379207612 0.3580330596
0.4013123399 0.4502546786 0.3696803053
0.4255574832 0.4626430717 0.3814641802
0.4501660027 0.4750725021 0.3933734598
0.4750208125 0.487529377 0.4053964696
0.5 0.5 0.4175211225
0.5249791875 0.512470623 0.4297349594
0.5498339973 0.5249274979 0.4420251925
0.5744425168 0.5373569283 0.45437875
0.5986876601 0.5497453214 0.4667823241
0.6224593312 0.5620792388 0.4792224191
0.6456563062 0.5743454458 0.4916854021
0.6681877722 0.5865309602 0.5041575538
0.6899744811 0.5986230989 0.5166251201
0.7109495026 0.6106095221 0.5290743646
0.7310585786 0.6224782759 0.5414916196
0.7502601056 0.6342178316 0.5538633383
0.7685247835 0.6458171229 0.5661761446
0.785834983 0.6572655794 0.5784168827
0.8021838886 0.6685531575 0.5905726651
0.8175744762 0.679670367 0.6026309181
0.8320183851 0.6906082956 0.6145794262
0.8455347349 0.7013586286 0.6264063728
0.8581489351 0.7119136658 0.6381003794
0.8698915256 0.7222663341 0.6496505416
0.880797078 0.7324101976 0.6610464611
0.8909031788 0.7423394624 0.672278276
0.9002495109 0.75204898 0.6833366864
0.908877039 0.7615342456 0.6942129769
0.9168273035 0.7707913939 0.7048990361
0.92414182 0.7798171917 0.7153873716
0.9308615797 0.7886090279 0.7256711218
0.9370266439 0.7971648997 0.7357440643
0.9426758241 0.8054833975 0.7456006203
0.9478464369 0.8135636865 0.755235856
0.9525741268 0.8214054867 0.7646454804
0.9568927451 0.8290090508 0.77382584
0.9608342772 0.8363751405 0.7827739102
0.9644288107 0.8435050012 0.791487284
0.9677045353 0.8504003357 0.7999641581
0.9706877692 0.8570632769 0.8082033165
0.9734030064 0.8634963598 0.8162041114
0.9758729786 0.8697024923 0.8239664422
0.9781187291 0.8756849272 0.8314907332
0.9801596943 0.8814472319 0.8387779089
0.98201379 0.8869932604 0.8458293682
0.9836975006 0.8923271237 0.8526469575
0.9852259683 0.8974531614 0.8592329425
0.9866130822 0.9023759137 0.8655899792
0.987871565 0.9071000937 0.8717210846
0.9890130574 0.9116305605 0.8776296064
0.9900481981 0.9159722928 0.8833191922
0.9909867013 0.9201303636 0.8887937589
0.9918374288 0.9241099152 0.8940574614
0.9926084587 0.9279161351 0.8991146613
0.9933071491 0.9315542329 0.903969895
0.9939401985 0.9350294175 0.9086278428
0.9945137011 0.9383468754 0.9130932965
0.9950331983 0.94151175 0.9173711288
0.9955037268 0.9445291209 0.9214662615
0.9959298623 0.9474039857 0.9253836354
0.9963157601 0.9501412418 0.9291281811
0.9966651927 0.9527456705 0.9327047905
0.9969815837 0.9552219229 0.9361182917
0.9972680392 0.9575745082 0.939373426
0.9975273768 0.9598077851 0.9424748287
