tau forward reverse_reflected
0 0.9999998846 0.9999998846
0.2 0.9971213128 0.9971213128
0.4 1.099667811 1.099667811
0.6 1.432171763 1.432171763
0.8 1.695668436 1.695668436
1 1.885345805 1.885345805
1.2 2.025835702 2.025835702
1.4 2.097981475 2.097981475
1.6 2.129854975 2.129854975
1.8 2.106888285 2.106888285
2 2.046179921 2.046179921
2.2 1.927949356 1.927949356
2.4 1.759678918 1.759678918
2.6 1.539715949 1.539715949
2.8 1.264876399 1.264876399
3 1.099672262 1.099672262
3.2 0.7790895834 0.7790895834
3.4 1.083534705 1.083534705
3.6 1.257960642 1.257960642
3.8 1.533085322 1.533085322
4 1.755158057 1.755158057
4.2 1.927759553 1.927759553
4.4 2.055292332 2.055292332
4.6 2.129290788 2.129290788
4.8 2.161315001 2.161315001
5 2.143921318 2.143921318
5.2 2.092763635 2.092763635
5.4 2.016501539 2.016501539
5.6 1.902760647 1.902760647
5.8 1.757060696 1.757060696
6 1.615367062 1.615367062
6.2 1.497492855 1.497492855
6.4 1.441185669 1.441185669
6.6 1.471591308 1.471591308
6.8 1.575270625 1.575270625
7 1.701261756 1.701261756
7.2 1.846529556 1.846529556
7.4 1.952291178 1.952291178
7.6 2.041380413 2.041380413
7.8 2.095462531 2.095462531
8 2.131857128 2.131857128
8.2 2.146000545 2.146000545
8.4 2.136482521 2.136482521
8.6 2.09408786 2.09408786
8.8 2.043623828 2.043623828
9 1.981922636 1.981922636
9.2 1.908746443 1.908746443
9.4 1.824411073 1.824411073
9.6 1.761412612 1.761412612
9.8 1.717529959 1.717529959
10 1.689712504 1.689712504
10.2 1.70360713 1.70360713
10.4 1.751619957 1.751619957
10.6 1.805902367 1.805902367
10.8 1.899767581 1.899767581
11 1.982554678 1.982554678
11.2 2.059363862 2.059363862
11.4 2.117802135 2.117802135
11.6 2.164505623 2.164505623
11.8 2.186553099 2.186553099
12 2.181063856 2.181063856
12.2 2.130414274 2.130414274
12.4 2.061088926 2.061088926
12.6 1.952137173 1.952137173
12.8 1.820088696 1.820088696
13 1.65076845 1.65076845
13.2 1.496999559 1.496999559
13.4 1.39989664 1.39989664
13.6 1.395547892 1.395547892
13.8 1.493584823 1.493584823
14 1.659266562 1.659266562
14.2 1.837379259 1.837379259
14.4 1.981603632 1.981603632
14.6 2.095738424 2.095738424
14.8 2.174700044 2.174700044
15 2.212849031 2.212849031
15.2 2.195412419 2.195412419
15.4 2.151036756 2.151036756
15.6 2.04072278 2.04072278
15.8 1.873584192 1.873584192
16 1.652488658 1.652488658
16.2 1.356344904 1.356344904
16.4 1.10150747 1.10150747
16.6 0.6795702395 0.6795702395
16.8 0.6974901432 0.6974901432
17 1.112523487 1.112523487
17.2 1.450153166 1.450153166
17.4 1.716156749 1.716156749
17.6 1.906365593 1.906365593
17.8 2.046715961 2.046715961
18 2.132118689 2.132118689
18.2 2.165808018 2.165808018
18.4 2.136344778 2.136344778
18.6 2.076756652 2.076756652
18.8 1.945369569 1.945369569
19 1.769064055 1.769064055
19.2 1.514420371 1.514420371
19.4 1.214729135 1.214729135
19.6 0.7259648902 0.7259648902
19.8 0.1952479327 0.1952479327
20 0.3681725911 0.3681725911
20.2 0.9426204294 0.9426204294
20.4 1.351360991 1.351360991
20.6 1.623549283 1.623549283
20.8 1.823991736 1.823991736
21 1.973283901 1.973283901
21.2 2.058477782 2.058477782
21.4 2.099467411 2.099467411
21.6 2.093599275 2.093599275
21.8 2.042964299 2.042964299
22 1.95556839 1.95556839
22.2 1.825070825 1.825070825
22.4 1.63043685 1.63043685
22.6 1.41581454 1.41581454
22.8 1.208540491 1.208540491
23 0.9629222828 0.9629222828
23.2 1.102628064 1.102628064
23.4 1.17370197 1.17370197
23.6 1.429846902 1.429846902
23.8 1.635546911 1.635546911
24 1.813109928 1.813109928
24.2 1.947815513 1.947815513
24.4 2.049477491 2.049477491
24.6 2.101388078 2.101388078
24.8 2.115416043 2.115416043
25 2.09449612 2.09449612
25.2 2.03575655 2.03575655
25.4 1.953457471 1.953457471
25.6 1.837756855 1.837756855
25.8 1.729700904 1.729700904
26 1.592728245 1.592728245
26.2 1.501931079 1.501931079
26.4 1.475252045 1.475252045
26.6 1.517194092 1.517194092
26.8 1.605505422 1.605505422
27 1.724874068 1.724874068
27.2 1.835470069 1.835470069
27.4 1.952021722 1.952021722
27.6 2.02444898 2.02444898
27.8 2.089599284 2.089599284
28 2.120545684 2.120545684
28.2 2.126819121 2.126819121
28.4 2.124074641 2.124074641
28.6 2.079464516 2.079464516
28.8 2.034066203 2.034066203
29 1.981288981 1.981288981
29.2 1.902293158 1.902293158
29.4 1.826842376 1.826842376
29.6 1.757956189 1.757956189
29.8 1.689515121 1.689515121
30 1.66725111 1.66725111
30.2 1.680269439 1.680269439
30.4 1.72042998 1.72042998
30.6 1.810997153 1.810997153
30.8 1.905493288 1.905493288
31 2.000360495 2.000360495
31.2 2.079981201 2.079981201
31.4 2.157058948 2.157058948
31.6 2.196038077 2.196038077
31.8 2.218720504 2.218720504
32 2.197563293 2.197563293
32.2 2.146801589 2.146801589
32.4 2.052666514 2.052666514
32.6 1.934660173 1.934660173
32.8 1.763204242 1.763204242
33 1.586621225 1.586621225
33.2 1.40818474 1.40818474
33.4 1.303540046 1.303540046
33.6 1.372577345 1.372577345
33.8 1.524201621 1.524201621
34 1.731877929 1.731877929
34.2 1.922306565 1.922306565
34.4 2.074353182 2.074353182
34.6 2.186299525 2.186299525
34.8 2.244776384 2.244776384
35 2.262236759 2.262236759
35.2 2.226359051 2.226359051
35.4 2.144947745 2.144947745
35.6 2.003018675 2.003018675
35.8 1.802804585 1.802804585
36 1.531311121 1.531311121
36.2 1.205567907 1.205567907
36.4 0.6164000815 0.6164000815
36.6 0.8029048434 0.8029048434
36.8 1.059773785 1.059773785
37 1.342648856 1.342648856
37.2 1.653424825 1.653424825
37.4 1.869799066 1.869799066
37.6 2.046394474 2.046394474
37.8 2.142404298 2.142404298
38 2.198905601 2.198905601
38.2 2.196230976 2.196230976
38.4 2.135724713 2.135724713
38.6 2.034026241 2.034026241
38.8 1.858231881 1.858231881
39 1.633570968 1.633570968
39.2 1.330823702 1.330823702
39.4 0.8705100972 0.8705100972
39.6 0.8207751404 0.8207751404
39.8 0.9810997113 0.9810997113
40 1.081563624 1.081563624
