level multiplicity entropy signed
-1.000688046 4 1.99974742 0
-0.9957472469 4 1.999837451 0
-0.9908064474 4 1.999885755 0
-0.985865648 4 1.999914556 0
-0.9809248486 4 1.999933059 0
-0.9759840492 4 1.999945587 0
-0.9710432497 4 1.999954422 0
-0.9661024503 4 1.999960838 0
-0.9611616509 4 1.999965614 0
-0.9562208514 4 1.999969231 0
-0.951280052 4 1.999972009 0
-0.9463392526 4 1.999974161 0
-0.9413984532 4 1.999975838 0
-0.9364576537 4 1.999977149 0
-0.9315168543 4 1.99997817 0
-0.9265760549 4 1.999978958 0
-0.9216352554 4 1.999979559 0
-0.916694456 4 1.999980009 0
-0.9117536566 4 1.999980332 0
-0.9068128572 4 1.999980548 0
-0.9018720577 4 1.999980675 0
-0.8969312583 4 1.999980727 0
-0.8919904589 4 1.999980712 0
-0.8870496594 4 1.999980642 0
-0.88210886 4 1.999980523 0
-0.8771680606 4 1.999980362 0
-0.8574048629 8 2.669559891 0
-0.8524640634 8 2.743081562 0
-0.847523264 8 2.787268663 0
-0.8425824646 8 2.818011734 0
-0.8376416652 8 2.84101153 0
-0.8327008657 8 2.858999371 0
-0.8277600663 8 2.873503327 0
-0.8228192669 8 2.885464153 0
-0.8178784674 8 2.895502237 0
-0.7981152697 12 3.204870787 0
-0.7931744703 12 3.305972799 0
-0.7882336709 12 3.360304689 0
-0.7832928714 12 3.395593031 0
-0.778352072 12 3.420753963 0
-0.7734112726 12 3.43975463 0
-0.7684704732 12 3.454681579 0
-0.7635296737 12 3.466754997 0
-0.7585888743 12 3.476742336 0
-0.7536480749 12 3.485153066 0
-0.7487072754 12 3.492340257 0
-0.743766476 12 3.498557209 0
-0.7388256766 12 3.503990475 0
-0.7338848772 12 3.508780947 0
-0.7289440777 12 3.513036972 0
-0.7240032783 12 3.516843635 0
-0.7190624789 12 3.520268542 0
-0.7141216794 12 3.523366195 0
-0.70918088 12 3.526181095 0
-0.7042400806 12 3.528749894 0
-0.6992992812 12 3.531103129 0
-0.6943584817 12 3.533266384 0
-0.6894176823 12 3.535261397 0
-0.6844768829 12 3.537106584 0
-0.6795360834 12 3.538817821 0
-0.674595284 12 3.540408817 0
-0.6696544846 12 3.541891352 0
-0.6647136852 12 3.543275861 0
-0.6597728857 12 3.544571345 0
-0.6548320863 12 3.545785837 0
-0.6498912869 12 3.546926335 0
-0.6449504874 12 3.547999111 0
-0.640009688 12 3.549009764 0
-0.6350688886 12 3.549963233 0
-0.6301280892 12 3.550864011 0
-0.6251872897 12 3.551716063 0
-0.6202464903 12 3.55252302 0
