tau integrable chaotic
0 -0 -0
0.4 1.563876474 1.551706815
0.8 3.35859763 3.303148643
1.2 4.375356856 4.252883432
1.6 4.997467854 4.788183431
2 5.374987602 5.073952232
2.4 5.577160481 5.196322014
2.8 5.650029494 5.220976589
3.2 5.647112195 5.230137437
3.6 5.641684822 5.288717469
4 5.704654502 5.395067728
4.4 5.842517424 5.52979433
4.8 6.000091699 5.654313297
5.2 6.126577138 5.737807766
5.6 6.198776747 5.753418975
6 6.208760233 5.669603452
6.4 6.162539677 5.500268779
6.8 6.069350167 5.295176766
7.2 5.955682802 5.197515464
7.6 5.862148402 5.211317448
8 5.83375137 5.272074183
8.4 5.860293089 5.266246008
8.8 5.882618449 5.150542349
9.2 5.840265906 4.907257315
9.6 5.694762031 4.655475751
10 5.409902781 4.532241762
10.4 4.959014906 4.528087316
10.8 4.343034546 4.523404469
11.2 3.791861606 4.391437102
11.6 3.669844243 4.190747385
12 3.639829536 3.907362222
12.4 3.555333239 4.360199005
12.8 3.883920682 4.95195908
13.2 4.483419665 5.214373173
13.6 4.942629699 5.326176638
14 5.210422696 5.35044279
14.4 5.320441858 5.308806361
14.8 5.329254994 5.268488562
15.2 5.337999974 5.349274341
15.6 5.448173476 5.556774763
16 5.658934906 5.695285076
16.4 5.881193058 5.757196657
16.8 6.049072684 5.755516646
17.2 6.143509825 5.70082499
17.6 6.169261429 5.606413264
18 6.137922764 5.482615648
18.4 6.070856229 5.299816725
18.8 5.999202439 5.301071211
19.2 5.954865657 5.360680553
19.6 5.963842628 5.356988656
20 6.006794236 5.347231252
20.4 6.039114649 5.353777843
20.8 6.017815205 5.344833938
21.2 5.911202232 5.334495951
21.6 5.697612911 5.264098169
22 5.370725937 5.146899724
22.4 4.981255589 4.976082107
22.8 4.700381003 4.72947362
23.2 4.641692835 4.600164365
23.6 4.634344048 4.901042652
24 4.507079453 5.282311302
24.4 4.255914043 5.536544105
24.8 4.139742791 5.636252796
25.2 4.376596906 5.612920122
25.6 4.673494027 5.522812233
26 4.833435058 5.491156847
26.4 4.861796889 5.518408398
26.8 4.881479465 5.631772358
27.2 5.06089299 5.793165675
27.6 5.378808719 5.877288953
28 5.689650737 5.901381898
28.4 5.911666321 5.859195189
28.8 6.038686357 5.75359925
29.2 6.080859614 5.613186259
29.6 6.063196429 5.46048866
30 6.016966171 5.478925217
30.4 5.980814658 5.588787367
30.8 5.983394955 5.672990238
31.2 6.029330713 5.706987891
31.6 6.09438421 5.700595395
32 6.1382497 5.657959922
32.4 6.134433554 5.585557146
32.8 6.057415409 5.50161256
33.2 5.897217514 5.399219227
33.6 5.657013253 5.260851291
34 5.391141225 5.182453094
34.4 5.215495035 5.293514532
34.8 5.18413169 5.410454553
35.2 5.190990382 5.539926951
35.6 5.109946826 5.70284988
36 4.874103369 5.741669868
36.4 4.462792067 5.735941522
36.8 4.003150396 5.712225939
37.2 3.88157261 5.682657778
37.6 4.028283797 5.708122183
38 4.088216352 5.785877331
38.4 4.127296598 5.91385253
38.8 4.455822518 5.981160266
39.2 4.969228151 5.97240992
39.6 5.409084475 5.921525951
40 5.705188671 5.83275473
