w tplus
0.3491486244 2.091089451
0.2865636592 2.081554482
0.2242366206 2.073893052
0.1621114102 2.068098267
0.1001321109 2.064164909
0.03824293731 2.062089439
-0.02361181506 2.061869988
-0.08548781965 2.06350636
-0.1474407691 2.067000027
-0.2095264251 2.072354133
-0.2718006691 2.079573498
-0.334319552 2.08866462
-0.3971393451 2.09963568
-0.4603165904 2.112496555
-0.5239081517 2.127258819
-0.5879712657 2.143935759
-0.6525635936 2.162542387
-0.7177432727 2.183095448
-0.7835689692 2.205613443
-0.8500999307 2.230116639
-0.9173960395 2.25662709
-0.9855178667 2.285168658
-1.054526726 2.315767032
-1.124484731 2.348449753
-1.195454849 2.383246237
-1.267500956 2.420187803
-1.340687899 2.459307702
-1.415081553 2.500641144
-1.490748875 2.544225332
-1.567757972 2.590099494
-1.646178156 2.638304921
-1.726080013 2.688885
-1.807535458 2.741885257
-1.890617806 2.797353396
-1.975401839 2.855339341
-2.061963866 2.915895285
-2.1503818 2.979075732
-2.240735223 3.044937548
-2.333105458 3.113540013
-2.427575647 3.184944874
-2.524230817 3.259216401
-2.623157965 3.336421442
-2.724446132 3.416629488
-2.828186485 3.499912731
-2.934472397 3.586346132
-3.043399532 3.676007487
-3.155065932 3.768977496
-3.269572104 3.865339839
-3.387021112 3.96518125
-3.507518667 4.068591591
-3.631173226 4.175663939
-3.758096086 4.286494666
-3.888401486 4.401183528
-4.02220671 4.519833752
-4.159632192 4.642552132
-4.300801623 4.769449122
-4.445842066 4.900638939
-4.594884067 5.036239661
-4.748061774 5.176373338
-4.905513057 5.321166102
-5.067379633 5.470748273
-5.233807192 5.625254488
-5.404945531 5.784823811
-5.580948687 5.949599867
-5.761975072 6.119730963
-5.948187624 6.295370231
-6.139753947 6.476675757
-6.336846463 6.663810728
-6.539642568 6.856943579
-6.748324793 7.056248142
-6.963080965 7.261903804
-7.184104381 7.47409567
-7.411593975 7.693014727
-7.645754505 7.918858016
-7.886796729 8.151828812
-8.134937603 8.392136804
-8.39040047 8.639998286
-8.653415264 8.895636349
-8.924218715 9.159281086
-9.203054566 9.431169794
-9.490173787 9.711547191
-9.785834806 10.00066564
-10.09030374 10.29878536
-10.40385462 10.60617468
-10.72676968 10.92311027
-11.05933955 11.2498774
-11.40186357 11.58677018
-11.75465005 11.93409184
-12.1180165 12.29215498
-12.49228998 12.6612819
-12.87780737 13.04180482
-13.27491565 13.43406624
-13.68397225 13.83841924
-14.10534535 14.25522774
-14.53941422 14.68486691
-14.98656954 15.12772345
-15.44721378 15.58419597
-15.92176156 16.05469531
-16.41064 16.53964496
-16.91428912 17.03948141
-17.43316225 17.55465455
