w upper lower
-3 3.640158009 -3.640158009
-2.975 3.619582204 -3.619582204
-2.95 3.599062424 -3.599062424
-2.925 3.578599633 -3.578599633
-2.9 3.558194814 -3.558194814
-2.875 3.537848969 -3.537848969
-2.85 3.517563124 -3.517563124
-2.825 3.497338321 -3.497338321
-2.8 3.477175626 -3.477175626
-2.775 3.457076125 -3.457076125
-2.75 3.437040927 -3.437040927
-2.725 3.417071163 -3.417071163
-2.7 3.397167987 -3.397167987
-2.675 3.377332576 -3.377332576
-2.65 3.357566132 -3.357566132
-2.625 3.337869879 -3.337869879
-2.6 3.318245068 -3.318245068
-2.575 3.298692973 -3.298692973
-2.55 3.279214896 -3.279214896
-2.525 3.259812162 -3.259812162
-2.5 3.240486126 -3.240486126
-2.475 3.221238167 -3.221238167
-2.45 3.202069695 -3.202069695
-2.425 3.182982144 -3.182982144
-2.4 3.16397698 -3.16397698
-2.375 3.145055696 -3.145055696
-2.35 3.126219815 -3.126219815
-2.325 3.10747089 -3.10747089
-2.3 3.088810504 -3.088810504
-2.275 3.070240273 -3.070240273
-2.25 3.05176184 -3.05176184
-2.225 3.033376886 -3.033376886
-2.2 3.015087118 -3.015087118
-2.175 2.996894281 -2.996894281
-2.15 2.97880015 -2.97880015
-2.125 2.960806534 -2.960806534
-2.1 2.942915278 -2.942915278
-2.075 2.925128259 -2.925128259
-2.05 2.907447391 -2.907447391
-2.025 2.889874622 -2.889874622
-2 2.872411936 -2.872411936
-1.975 2.855061353 -2.855061353
-1.95 2.83782493 -2.83782493
-1.925 2.820704758 -2.820704758
-1.9 2.803702968 -2.803702968
-1.875 2.786821726 -2.786821726
-1.85 2.770063236 -2.770063236
-1.825 2.75342974 -2.75342974
-1.8 2.736923516 -2.736923516
-1.775 2.720546881 -2.720546881
-1.75 2.704302189 -2.704302189
-1.725 2.688191833 -2.688191833
-1.7 2.672218242 -2.672218242
-1.675 2.656383882 -2.656383882
-1.65 2.64069126 -2.64069126
-1.625 2.625142916 -2.625142916
-1.6 2.60974143 -2.60974143
-1.575 2.594489416 -2.594489416
-1.55 2.579389527 -2.579389527
-1.525 2.564444449 -2.564444449
-1.5 2.549656905 -2.549656905
-1.475 2.535029651 -2.535029651
-1.45 2.520565478 -2.520565478
-1.425 2.506267211 -2.506267211
-1.4 2.492137703 -2.492137703
-1.375 2.478179842 -2.478179842
-1.35 2.464396545 -2.464396545
-1.325 2.450790756 -2.450790756
-1.3 2.437365449 -2.437365449
-1.275 2.424123621 -2.424123621
-1.25 2.411068297 -2.411068297
-1.225 2.398202521 -2.398202521
-1.2 2.385529361 -2.385529361
-1.175 2.373051902 -2.373051902
-1.15 2.360773249 -2.360773249
-1.125 2.348696517 -2.348696517
-1.1 2.33682484 -2.33682484
-1.075 2.325161356 -2.325161356
-1.05 2.313709215 -2.313709215
