ge cayley continuous
0 1.091089451 1.091089451
0.02 1.08452404 1.084524245
0.04 1.078791459 1.078792876
0.06 1.073889014 1.073893052
0.08 1.069815008 1.069822813
0.1 1.066568734 1.066580531
0.12 1.06415048 1.064164909
0.14 1.062561534 1.06257498
0.16 1.061804191 1.061810108
0.18 1.061881766 1.061869988
0.2 1.062798607 1.062754644
0.22 1.064560114 1.064464429
0.24 1.067172757 1.067000027
0.26 1.070644106 1.070362453
0.28 1.074982854 1.074553051
0.3 1.080198851 1.079573498
0.32 1.086303142 1.085425803
0.34 1.093308005 1.092112305
0.36 1.101226999 1.09963568
0.38 1.110075011 1.107998938
0.4 1.119868312 1.117205423
0.42 1.130624619 1.127258819
0.44 1.142363163 1.138163146
0.46 1.155104758 1.149922768
0.48 1.168871884 1.162542387
0.5 1.183688778 1.176027052
0.52 1.199581524 1.190382156
0.54 1.216578163 1.205613443
0.56 1.234708805 1.221727005
0.58 1.254005756 1.238729287
0.6 1.274503656 1.25662709
0.62 1.296239629 1.275427575
0.64 1.319253444 1.295138261
0.66 1.343587701 1.315767032
0.68 1.369288023 1.337322142
0.7 1.396403273 1.359812211
0.72 1.424985793 1.383246237
0.74 1.455091664 1.407633593
0.76 1.486780988 1.432984035
0.78 1.520118209 1.459307702
0.8 1.555172457 1.486615126
0.82 1.59201793 1.514917229
0.84 1.63073432 1.544225332
0.86 1.67140728 1.574551159
0.88 1.714128943 1.605906841
0.9 1.758998499 1.638304921
0.92 1.806122837 1.671758357
0.94 1.855617256 1.706280533
0.96 1.907606265 1.741885257
0.98 1.962224472 1.778586771
1 2.019617586 1.816399758
1.02 2.079943534 1.855339341
1.04 2.143373725 1.895421099
1.06 2.210094474 1.936661064
1.08 2.280308612 1.979075732
1.1 2.354237309 2.02268207
1.12 2.43212215 2.067497522
1.14 2.514227495 2.113540013
1.16 2.600843186 2.160827962
1.18 2.69228764 2.209380284
1.2 2.788911413 2.259216401
1.22 2.891101313 2.310356248
1.24 2.999285156 2.362820281
1.26 3.113937303 2.416629488
1.28 3.235585114 2.471805392
1.3 3.364816507 2.528370065
1.32 3.502288859 2.586346132
1.34 3.648739519 2.645756786
1.36 3.804998297 2.706625791
1.38 3.972002362 2.768977496
1.4 4.150814134 2.832836842
